鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
文山區,房地(土地+建物)+車位,臺北市文山區指南路二段２２１號四樓,41.88,住,,,1091214,土地1建物1車位1,四層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101202,113.37,2,1,1,有,有,17550000,170018,坡道平面,24.85,2500000,預售屋、或土地及建物分件登記案件；,RPPPMLSKJHHGFAA27DA,46.96,6.38,3.81,有,
文山區,房地(土地+建物),臺北市文山區指南路二段２２１號四樓之３,14.41,住,,,1080728,土地1建物1車位0,四層,四層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1101202,30.0,1,0,1,有,有,5350000,178333,,0.0,0,預售屋、或土地及建物分件登記案件；,RPORMLSKJHHGFAA37DA,16.2,0.91,2.26,有,
文山區,房地(土地+建物)+車位,臺北市文山區景豐街６２巷１７號八樓之１,22.63,住,,,1110208,土地1建物1車位1,八層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831202,106.81,2,2,1,有,有,16500000,154480,坡道平面,0.0,1800000,陽台外推；其他增建；,RPWOMLLLKHHGFAA37DA,55.59,8.79,1.79,有,
文山區,房地(土地+建物),臺北市文山區木柵路四段３１之４號三樓,33.25,住,,,1110222,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,89.13,2,2,1,有,無,11500000,129025,,0.0,0,,RPQNMLMLKHHGFAA76DA,83.82,0.0,5.31,無,
文山區,房地(土地+建物),臺北市文山區興隆路二段２２巷７弄３號五樓,37.46,住,,,1110123,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741015,108.41,3,2,1,有,無,13250000,122221,,0.0,0,陽台外推；,RPTNMLMLKHHGFAA07DA,88.18,0.49,9.43,無,
文山區,房地(土地+建物),臺北市文山區興隆路三段２０７巷５弄３號三樓,51.14,住,,,1110223,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710225,105.39,3,1,2,有,無,8000000,75909,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLMLKHHGFAA66DA,76.96,0.0,26.77,無,
文山區,房地(土地+建物)+車位,臺北市文山區興隆路四段１４５巷８３弄６號七樓,21.67,住,,,1110216,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870730,111.42999999999999,3,2,2,有,有,17700000,158844,升降機械,0.0,1500000,陽台外推；其他增建；,RPQOMLMLKHHGFAA86DA,67.05,5.65,7.04,有,
文山區,房地(土地+建物),臺北市文山區仙岩路２２巷２號四樓之４,22.39,住,,,1110215,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840724,78.18,5,2,1,有,有,14600000,186749,,0.0,0,陽台外推；夾層；其他增建；,RPUOMLNJLHHGFAA27DA,52.08,1.28,7.88,有,
文山區,車位,臺北市文山區興順街８３號,4.89,住,,,1110222,土地1建物1車位2,一層,十層,其他,商業用,鋼筋混凝土造,0941209,59.3,0,0,0,有,有,950000,,坡道平面,59.3,950000,僅車位交易；,RPSNMLNKLHHGFAA07DA,0.0,0.0,0.0,有,001
文山區,房地(土地+建物),臺北市文山區景興路２３７號十二樓,5.43,商,,,1110127,土地1建物1車位0,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840802,60.09,1,2,1,有,有,12000000,199700,,0.0,0,陽台外推；,RPWNMLQKLHHGFAA77DA,49.18,2.03,5.54,有,
文山區,房地(土地+建物),臺北市文山區三福街４巷１６號二樓,25.5,住,,,1110209,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0651223,72.85,2,2,1,有,無,9030000,123953,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；陽台外推；,RPSOMLQKLHHGFAA47DA,72.85,0.0,0.0,無,
大同區,房地(土地+建物),臺北市大同區哈密街１９號,19.92,住,,,1101128,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671123,135.92,2,1,1,有,無,22580000,166127,,0.0,0,其他增建；,RPQNMLLKJHHGFBA56DA,57.64,78.28,0.0,無,
大同區,房地(土地+建物),臺北市大同區西寧北路８２之５號五樓,14.5,都市：其他:特定專用區(供特定住宅使用)。,,,1110108,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0780320,86.48,1,1,1,有,無,15730000,181892,,0.0,0,陽台外推；其他增建；,RPQNMLSKKHHGFBA37DA,71.31,2.25,7.59,有,002
萬華區,房地(土地+建物),臺北市萬華區莒光路２８３巷３弄１７號,44.0,住,,,1110116,土地1建物1車位0,全,一層,透天厝,,磚造,,40.18,2,2,2,有,無,12500000,311100,,0.0,0,夾層；其他增建；,RPWOMLSKKHHGFBA08DA,40.18,0.0,0.0,無,
萬華區,房地(土地+建物),臺北市萬華區隆昌街１２１號,22.0,商,,,1110128,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0640903,100.25,3,1,1,有,無,17000000,169576,,0.0,0,3建築物含有：空地增建主建物內含樓梯間本買賣總價金新台幣壹仟柒佰萬元正內含土地價金新台幣壹仟陸佰貳拾萬正建物價金捌拾萬元正,RPTOMLLLKHHGFBA17DA,62.17,38.08,0.0,無,
萬華區,房地(土地+建物),臺北市萬華區環河南路二段３００號四樓,46.75,住,,,1101216,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0631007,164.37,5,2,2,有,無,17450000,106163,,0.0,0,其他增建；,RPSOMLNJLHHGFBA17DA,164.37,0.0,0.0,無,003
萬華區,房地(土地+建物)+車位,臺北市萬華區西園路一段８０號五樓,8.98,商,,,1110212,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961119,112.41,2,2,1,有,有,19800000,181404,坡道機械,11.53,1500000,陽台外推；,RPTNMLTJLHHGFBA77DA,57.67,3.82,7.17,有,
萬華區,房地(土地+建物)+車位,臺北市萬華區西園路二段１４７號三樓,34.06,商,,,1110223,土地1建物1車位2,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000826,236.3,4,2,2,有,有,35500000,150233,升降平面,53.95,0,其他增建；,RPPNMLSJLHHGFBA27DA,127.28,7.31,8.7,有,004
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路１０５號二十二樓之７,5.2,商,,,1110206,土地1建物1車位1,二十二層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1050331,105.25,2,1,1,有,有,17800000,216601,坡道平面,33.69,2300000,,RPVPMLPKLHHGFBA87DA,40.7,1.28,5.23,有,005
