鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
西區,房地(土地+建物)+車位,臺中市西區臺灣大道二段４９８號二十三樓之一,21.28,商,,,1110117,土地1建物1車位2,二十三層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011121,298.56,3,2,2,有,有,31800000,117178,坡道平面,47.66,2400000,其他增建；,RPSOMLRKJHHGFAB47DA,139.05,1.05,29.4,有,0001
南區,房地(土地+建物)+車位,臺中市南區柳川東路１段１００號１５樓之２,10.77,住,,,1110125,土地1建物1車位1,十五層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881012,133.4,2,2,1,有,有,11300000,84708,坡道平面,27.66,0,,RPPPMLKKKHHGFAB66DA,69.91,1.19,8.6,有,
東區,房地(土地+建物),臺中市東區育英路２８－１０號,60.91,住,,,1110110,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0850327,213.41,3,2,4,有,有,17100000,80127,,0.0,0,,RPQOMLLKKHHGFAB76DA,160.12,16.31,17.53,無,
南區,房地(土地+建物)+車位,臺中市南區三民西路３６５之２號１３樓,12.0,商,,,1110126,土地2建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941011,130.51,3,2,2,有,有,12680000,97157,坡道機械,11.96,0,陽台外推；,RPUOMLRKKHHGFAB77DA,74.35,0.0,13.38,有,
中區,房地(土地+建物),臺中市中區民權路２２號八樓之６,2.71,商,,,1110219,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851016,29.06,1,1,1,有,有,2150000,73985,,0.0,0,其他增建；,RPUNMLTKKHHGFAB87DA,16.72,0.0,2.82,有,0002
南區,房地(土地+建物)+車位,臺中市南區文心南路７５９號１０樓之２,17.6,住,,,1110207,土地2建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880702,164.47,4,2,2,有,有,10000000,60801,坡道機械,11.58,0,含傢俱設備費；陽台外推；,RPTNMLNLKHHGFAB27DA,107.51,0.0,11.51,有,
南區,房地(土地+建物),臺中市南區忠明南路７３０巷３６號６樓,6.58,住,,,1110222,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811120,56.39,1,1,1,有,有,2620000,46462,,0.0,0,,RPOQMLMJLHHGFAB86DA,48.01,0.0,5.36,有,
西區,房地(土地+建物)+車位,臺中市西區日進街１２６號六樓之５,24.08,住,,,1110126,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1080423,95.84,2,1,2,有,有,9950000,103819,塔式車位,7.97,0,土地價格:597萬元正。建物價格:398萬元正,RPXPMLOJLHHGFAB87DA,56.15,0.0,6.14,有,
西區,房地(土地+建物),臺中市西區民生路１３５號１５樓之１７,2.6,商,,,1110305,土地1建物1車位0,十五層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0850119,43.31,1,0,1,有,有,2500000,57723,,0.0,0,,RPRNMLPJLHHGFAB17DA,19.94,0.0,3.91,有,
南區,房地(土地+建物)+車位,臺中市南區福田二街２６８巷１９號,99.08,住,,,1110124,土地3建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,0850815,291.46000000000004,5,2,4,有,有,19300000,66218,坡道平面,0.0,0,本案屬人車分道社區型透天厝停車空間位於自宅地下一樓非屬可單獨出售之停車位,RPXOMLRJLHHGFAB08DA,229.05,21.78,21.14,無,
西區,房地(土地+建物),臺中市西區博館路２２７號,71.0,住,,,1110119,土地2建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0580410,93.2,1,2,1,有,無,14060000,150858,,0.0,0,其他增建；,RPPPMLSJLHHGFAB47DA,93.2,0.0,0.0,無,
西區,房地(土地+建物),臺中市西區中美街２５３巷１０號,67.0,住,,,1110213,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0571204,78.86,6,0,6,有,無,12200000,154705,,0.0,0,其他增建:防火巷陽台外推；頂樓加蓋；其他增建；,RPWPMLKKLHHGFAB47DA,78.86,0.0,0.0,無,
南區,房地(土地+建物)+車位,臺中市南區工學北路３５７號二十四樓之１,22.71,住,,,1110224,土地1建物1車位1,二十四層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031029,197.51999999999998,3,2,2,有,有,18300000,92649,坡道平面,22.91,0,,RPUOMLPKLHHGFAB67DA,96.26,6.98,11.36,有,0003
南區,房地(土地+建物),臺中市南區工學北路１４５號４樓之２,14.57,住,,,1101101,土地4建物1車位0,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840123,129.31,3,2,2,有,有,7000000,54133,,0.0,0,權利人名字第三字為造字 ?親友、員工、共有人或其他特殊關係間之交易；,RPVOMLPKLHHGFAB77DA,86.07,0.0,15.61,有,
東區,房地(土地+建物),臺中市東區環中東路五段３８巷１７號,71.0,住,,,1110124,土地1建物1車位0,全,一層,透天厝,住家用,磚造,0610201,37.91,4,2,1,有,無,6700000,176734,,0.0,0,頂樓加蓋；其他增建；,RPOPMLPKLHHGFAB17DA,37.91,0.0,0.0,無,0004
南區,房地(土地+建物)+車位,臺中市南區三民西路３６７號９樓,8.23,商,,,1110128,土地2建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941011,89.54,4,2,2,有,有,5500000,61425,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOPMLTJLHHGFAB47DA,48.92,0.0,7.84,有,
中區,房地(土地+建物),臺中市中區市府路１５２號,265.0,商,,,1101118,土地4建物1車位0,全,一層,透天厝,其他,鋼鐵造,0901012,229.12,1,1,1,有,無,45000000,196404,,0.0,0,其他增建；,RPQQMLLKLHHGFAB07DA,214.89,0.0,14.23,無,0005
南區,房地(土地+建物),臺中市南區仁義街８６－１３號６樓,3.3,住,,,1110302,土地1建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840107,30.09,1,0,1,有,有,1360000,45198,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLOKLHHGFAB27DA,19.6,0.0,3.1,有,
南區,房地(土地+建物),臺中市南區忠孝路１２１巷１弄２０號,70.0,住,,,1110115,土地1建物1車位0,全,二層,透天厝,住家用,鐵筋加強磚造,0561231,84.11,6,0,6,有,無,12800000,152182,,0.0,0,,RPUQMLPKLHHGFAB87DA,84.11,0.0,0.0,無,0006
東區,房地(土地+建物),臺中市東區建勇東街１１號五樓,60.0,住,,,1110219,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0901213,170.12,2,2,1,有,無,7500000,44087,,0.0,0,二親等間買賣，價金120萬主張贈與稅免稅額免除價金支付,RPRNMLQKLHHGFAB37DA,124.67,0.0,16.43,有,
中區,房地(土地+建物),臺中市中區民權路１６４號１７樓之１３,1.93,商,,,1110219,土地2建物1車位0,十七層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0860131,37.33,1,0,1,有,有,2100000,56255,,0.0,0,,RPUNMLQKLHHGFAB67DA,20.6,0.0,4.14,有,0007
西區,土地,公館段42-125地號,128.25,都市：其他:道路用地,,,1101230,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11339815,88420,,0.0,0,包含公共設施保留地用地；,RPWNMLQKLHHGFAB87DA,0.0,0.0,0.0,無,0008
中區,土地,柳川段二小段40-8地號,40.0,商,,,1110301,土地2建物0車位0,,,其他,,,,0.0,2,1,1,有,無,3600000,90000,,0.0,0,土地款348萬，房屋款12萬。未登記建物；,RPQOMLQKLHHGFAB37DA,0.0,0.0,0.0,無,
西區,房地(土地+建物)+車位,臺中市西區公路２１號,31.89,住,,,1110211,土地2建物1車位2,一層，騎樓，見其他登記事項,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1031130,201.17000000000002,0,0,1,有,有,22850000,113586,坡道平面,0.0,0,,RPSOMLQKLHHGFAB57DA,77.88,0.0,15.5,有,0009
西區,房地(土地+建物),臺中市西區中華路１段１－７號１８樓之１８,2.6,商,,,1110209,土地1建物1車位0,十八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0850119,43.370000000000005,1,1,1,有,有,2730000,62947,,0.0,0,,RPVPMLQKLHHGFAB97DA,19.94,0.0,3.91,有,0010
南區,房地(土地+建物)+車位,臺中市南區文心南路５４６之１號十一樓之二,22.27,住,,,1110213,土地1建物1車位2,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020818,202.26999999999998,2,2,2,有,有,13600000,74601,坡道平面,60.18,3000000,,RPQNMLRKLHHGFAB37DA,85.52,0.9,10.16,有,
西區,房地(土地+建物),臺中市西區民生路４８６號二樓,23.25,住,,,1110218,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700129,76.92,3,2,2,有,無,5400000,70203,,0.0,0,,RPSOMLRKLHHGFAB67DA,76.92,0.0,0.0,無,0011
北區,房地(土地+建物),臺中市北區五常街３８０號七樓之３９,3.06,商,,,1110104,土地1建物1車位0,七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971128,30.130000000000003,1,1,1,有,有,3110000,103219,,0.0,0,,RPUTMLSKJHHGFBB38DA,17.02,0.0,1.48,有,0012
北區,房地(土地+建物)+車位,臺中市北區中清路一段３７０號二樓,41.82,商,,,1110122,土地2建物2車位1,二層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0800501,525.3,0,0,0,無,有,24000000,45687,升降機械,0.0,0,,RPOOMLPLJHHGFBB07DA,454.87,0.0,31.97,有,
北區,房地(土地+建物),臺中市北區育德路１００號四樓之１,53.76,住,,,1110116,土地2建物1車位0,四層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990607,336.4,3,2,3,有,有,39500000,117420,,0.0,0,,RPSNMLKKKHHGFBB86DA,194.61,10.98,25.31,有,
北區,房地(土地+建物)+車位,臺中市北區文心路四段１９０號２樓之２,7.83,住,,,1110213,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951225,86.95,1,2,1,有,有,6530000,75101,坡道機械,21.34,0,陽台外推；,RPUOMLOKKHHGFBB57DA,39.47,0.0,7.12,有,
北屯區,房地(土地+建物),臺中市北屯區旅順路一段２０號,15.08,住,,,1110128,土地1建物1車位0,一層，騎樓,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0790801,90.46,3,2,2,有,有,8800000,97281,,0.0,0,,RPSNMLPKKHHGFBB37DA,54.3,6.82,0.0,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區文心路四段８７３號１７樓之２,7.18,商,,,1110127,土地1建物1車位1,十七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850705,119.43,3,2,2,有,有,8000000,66985,坡道機械,0.0,0,陽台外推；,RPXNMLSKKHHGFBB18DA,65.55,0.0,9.81,有,0013
北屯區,房地(土地+建物)+車位,臺中市北屯區景和東街９６巷２號,88.75,住,,,1110206,土地2建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,0940415,289.97999999999996,5,3,4,有,有,25000000,86213,一樓平面,0.0,0,陽台外推；其他增建；,RPOTMLMLKHHGFBB37DA,249.61,4.71,7.08,無,
北屯區,房地(土地+建物)+車位,臺中市北屯區瀋陽路三段３０號,18.42,商,,,1110223,土地1建物1車位1,一層,十八層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,0990909,209.01999999999998,0,1,1,有,有,35680000,170701,坡道平面,22.91,0,陽台外推；含租約；,RPQRMLNLKHHGFBB47DA,131.57,0.0,10.15,有,0014
