鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
前金區,房地(土地+建物),高雄市前金區河南二路１６０號二十四樓之２,9.5,住,,,1110114,土地2建物1車位0,二十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841219,101.96000000000001,2,2,1,有,有,5600000,54923,,0.0,0,,RPPOMLOKJHHGFAE17DA,75.92,0.0,2.11,有,
鼓山區,房地(土地+建物),高雄市鼓山區延平街１３號五樓,23.0,商,,,1110125,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0751231,97.0,5,0,5,有,無,4640000,47835,,0.0,0,含租約；,RPQNMLSLJHHGFAE67DA,82.63,0.0,0.0,無,
鼓山區,房地(土地+建物),高雄市鼓山區哨船街７７之４號三樓之２,27.31,商,,,1110127,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0701201,112.56,4,2,2,有,無,3900000,34648,,0.0,0,,RPUPMLTJKHHGFAE28DA,91.5,0.0,6.34,無,0001
前金區,房地(土地+建物),高雄市前金區五福三路１４８號五樓之２,4.06,商,,,1110215,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830208,46.120000000000005,1,1,1,有,有,2950000,63964,,0.0,0,,RPTOMLPKKHHGFAE77DA,36.34,0.0,0.0,有,0002
鼓山區,房地(土地+建物),高雄市鼓山區西藏街３５５號四樓之２,35.4,都市：其他:第二種特定商業專用區,,,1110217,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0700321,107.6,3,2,2,有,無,4000000,37175,,0.0,0,全屋就已知悉及未知悉之滲漏水情形買方願自行修繕處理，即賣方不負民法規範之滲漏水瑕疵擔保責任。,RPWOMLRKKHHGFAE28DA,107.6,0.0,0.0,無,
前金區,房地(土地+建物),高雄市前金區七賢二路１３６號五樓,6.14,商,,,1110212,土地1建物1車位0,五層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100205,93.71000000000001,2,2,2,有,有,8330000,88891,,0.0,0,,RPSNMLNLKHHGFAE47DA,56.69,0.0,3.51,有,
前金區,房地(土地+建物)+車位,高雄市前金區六合二路１０８號二十一樓之１,6.35,商,,,1110211,土地1建物1車位1,二十一層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100702,123.06,3,2,2,有,有,12100000,98326,坡道平面,28.79,0,,RPUOMLNLKHHGFAE77DA,53.17,2.61,4.61,有,0003
前金區,房地(土地+建物),高雄市前金區七賢二路１３８號二樓,5.57,商,,,1110118,土地1建物1車位0,二層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100205,89.02,2,2,1,有,有,7800000,87621,,0.0,0,,RPXOMLOLKHHGFAE18DA,51.49,0.0,5.7,有,
前金區,房地(土地+建物),高雄市前金區七賢二路１２６號二十一樓,6.02,商,,,1110219,土地1建物1車位0,二十一層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100205,92.24000000000001,2,2,1,有,有,8960000,97138,,0.0,0,,RPOPMLOLKHHGFAE37DA,55.62,0.0,3.67,有,
前金區,房地(土地+建物)+車位,高雄市前金區七賢二路１４６號七樓,7.4,商,,,1110127,土地1建物1車位1,七層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100205,154.48,3,2,2,有,有,11880000,76903,坡道平面,41.5,0,,RPPNMLOLKHHGFAE27DA,68.34,0.0,4.26,有,
前金區,房地(土地+建物),高雄市前金區七賢二路１４８號七樓,5.6,商,,,1110214,土地1建物1車位0,七層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100205,86.84,2,2,1,有,有,7920000,91202,,0.0,0,,RPSPMLLJLHHGFAE37DA,51.77,0.0,4.09,有,
前金區,房地(土地+建物),高雄市前金區七賢二路１２６號二十二樓,6.02,商,,,1110226,土地1建物1車位0,二十二層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100205,92.24000000000001,2,2,1,有,有,9010000,97680,,0.0,0,,RPSNMLOJLHHGFAE47DA,55.62,0.0,3.67,有,
前金區,房地(土地+建物),高雄市前金區七賢二路１３８號三樓,5.57,商,,,1110126,土地1建物1車位0,三層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100205,89.02,2,2,1,有,有,8350000,93799,,0.0,0,實品屋含裝潢費；,RPTNMLOJLHHGFAE57DA,51.49,0.0,5.7,有,
鼓山區,房地(土地+建物),高雄市鼓山區美術東四路４５９號十一樓,17.04,住,,,1110216,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941114,121.12,3,2,2,有,有,11000000,90819,,0.0,0,,RPRPMLOJLHHGFAE57DA,79.55,0.0,4.36,有,
前金區,房地(土地+建物)+車位,高雄市前金區七賢二路１４６號五樓,7.4,商,,,1110224,土地1建物1車位1,五層,二十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1100205,154.48,3,2,2,有,有,11680000,75608,坡道平面,41.5,0,,RPQNMLRJLHHGFAE57DA,68.34,0.0,4.26,有,
