鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
土城區,房地(土地+建物)+車位,新北市土城區裕華街１７號十九樓,22.89,工,,,1110105,土地1建物1車位1,十九層,十九層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,1080625,126.0,0,0,0,無,有,14280000,135429,坡道平面,33.11,1700000,,RPRPMLRJKHHGFAF87DA,53.92,2.08,6.5,有,
板橋區,房地(土地+建物)+車位,新北市板橋區萬板路５２０號九樓,20.05,住,,,1110122,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990910,134.19,3,2,2,有,有,21500000,160221,升降機械,10.3,0,,RPTRMLRJKHHGFAF28DA,73.82,2.04,8.4,有,
土城區,房地(土地+建物),新北市土城區德街２巷２號十四樓,21.0,住,,,1110127,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831208,110.19,2,2,2,有,有,13050000,118432,,0.0,0,陽台外推；,RPOQMLKKKHHGFAF07DA,88.44,0.0,7.57,有,0001
板橋區,房地(土地+建物),新北市板橋區中正路４７５號五樓,13.98,住,,,1090509,土地1建物1車位0,五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1101110,87.83,2,2,1,有,有,10680000,121599,,0.0,0,預售屋、或土地及建物分件登記案件；,RPROMLMKKHHGFAF37DA,48.93,3.35,5.24,有,
板橋區,房地(土地+建物)+車位,新北市板橋區中正路４７５號七樓,14.41,住,,,1100327,土地1建物1車位1,七層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,121.47,2,2,1,有,有,12580000,123292,坡道平面,33.63,1750000,預售屋、或土地及建物分件登記案件；,RPVOMLMKKHHGFAF77DA,48.93,3.35,5.24,有,
板橋區,房地(土地+建物)+車位,新北市板橋區中正路４７５號十五樓,14.54,住,,,1100730,土地1建物1車位1,十五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,122.35,2,2,1,有,有,13400000,129058,坡道平面,33.63,1950000,預售屋、或土地及建物分件登記案件；,RPXPMLMKKHHGFAF08DA,49.19,3.35,5.49,有,
板橋區,房地(土地+建物)+車位,新北市板橋區中正路４７５號十九樓,14.59,住,,,1100805,土地1建物1車位1,十九層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,122.61999999999999,2,2,1,有,有,13410000,128779,坡道平面,33.63,1950000,預售屋、或土地及建物分件登記案件；,RPRQMLMKKHHGFAF57DA,49.33,3.35,5.62,有,
板橋區,房地(土地+建物)+車位,新北市板橋區中正路４７５號十一樓,14.46,住,,,1100226,土地1建物1車位1,十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,121.91,2,2,1,有,有,12880000,126076,坡道平面,33.63,1750000,預售屋、或土地及建物分件登記案件；,RPPNMLNKKHHGFAF17DA,49.06,3.35,5.37,有,
板橋區,房地(土地+建物)+車位,新北市板橋區中正路４５９號三樓,20.2,住,,,1100405,土地1建物1車位1,三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1101110,158.25,3,2,2,有,有,17380000,123014,坡道平面,33.63,2050000,預售屋、或土地及建物分件登記案件；,RPQNMLNKKHHGFAF27DA,75.93,1.06,4.56,有,
