鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
桃園區,房地(土地+建物),桃園市桃園區大華五街４號,92.0,住,,,1101231,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0601105,155.54,4,3,3,有,無,7100000,45647,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPROMLSLJHHGFAH18DA,155.54,0.0,0.0,無,
桃園區,土地,建新段942地號,495.42,農,,,1110112,土地13建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17990000,36313,,0.0,0,本買賣標的地上物:有未辦保存登記之建物,RPQOMLRJKHHGFAH87DA,0.0,0.0,0.0,無,
桃園區,土地,三元段505地號,301.53,工,,,1101221,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16417800,54448,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUOMLTJKHHGFAH48DA,0.0,0.0,0.0,無,0001
桃園區,房地(土地+建物),桃園市桃園區永安路３８５巷９號十二樓之１,20.93,住,,,1110120,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880820,149.88,3,2,2,有,有,6500000,43368,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPTPMLLLJHHGFAH77DA,85.25,0.0,8.94,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區春日路８１號三樓,14.01,商,,,1110218,土地2建物1車位1,三層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051123,174.26,3,2,2,有,有,15500000,88948,坡道平面,0.0,0,,RPXOMLNLKHHGFAH38DA,76.38,4.62,3.92,有,0002
桃園區,房地(土地+建物)+車位,桃園市桃園區莊二街３７號七樓之１,17.06,住,,,1110123,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820222,132.84,2,2,2,有,有,8000000,60223,坡道平面,0.0,0,其他增建；,RPROMLPLKHHGFAH97DA,90.88,0.0,3.96,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區中山路９５６巷１５８號十二樓,16.51,住,,,1110128,土地1建物1車位1,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040709,118.53,2,1,1,有,有,9200000,77617,坡道平面,0.0,0,,RPSNMLLJLHHGFAH47DA,51.62,0.0,3.48,有,0003
桃園區,車位,藝文二街９０號二樓等,0.48,商,,,1110305,土地1建物1車位1,,,其他,,,,21.74,0,0,0,有,有,1900000,,坡道平面,21.74,1900000,僅車位交易；,RPQOMLTJLHHGFAH18DA,0.0,0.0,0.0,有,0004
桃園區,房地(土地+建物)+車位,桃園市桃園區慈文路１４號四樓之３,15.14,住,,,1110220,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000303,125.83,2,2,1,有,有,9800000,77883,坡道平面,0.0,0,,RPQSMLTJLHHGFAH58DA,54.28,3.67,5.01,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區幸福路５８號九樓,16.32,商,,,1101211,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,159.49,3,2,2,有,有,13450000,89510,坡道平面,28.22,1700000,,RPQNMLKKLHHGFAH27DA,79.43,0.0,9.99,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區幸福路５８號十二樓,16.32,商,,,1101101,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,159.49,3,2,2,有,有,13150000,87225,坡道平面,28.22,1700000,,RPRNMLKKLHHGFAH37DA,79.43,0.0,9.99,有,
